Apartament cu 1 camere de vânzare- Parcul Morarilor,72 500 €,Dobroesti,41 m²,https://www.storia.ro/ro/oferta/apartament-cu-1-camere-de-vnzare-parcul-morarilor-IDDZ36.html
"Apartament de vanzare-2 camere, renovat, mobilat - cladire 2007 Snagov",65 000 €,Snagov,57 m²,https://www.storia.ro/ro/oferta/apartament-de-vanzare-2-camere-renovat-mobilat-cladire-2007-snagov-IDDQWD.html
Apartament cu 2 camere șoseaua Alexandriei Bragadiru,55 000 €,Bragadiru,46 m²,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-oseaua-alexandriei-bragadiru-IDD2x8.html
Garsoniera Militari Residence aprilie 2026,45 500 €,"Bucuresti, Sectorul 6",35 m²,https://www.storia.ro/ro/oferta/garsoniera-militari-residence-aprilie-2026-IDEKaw.html
Apartament 4 camere 269 mp de vanzare Tineretului Asmita Gardens-Mobil,550 000 €,"Bucuresti, Sectorul 3",269 m²,https://www.storia.ro/ro/oferta/apartament-4-camere-269-mp-de-vanzare-tineretului-asmita-gardens-mobil-IDAb0u.html
Apartament 3 camere Giurgiului B3,78 000 €,"Bucuresti, Sectorul 4",68 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-giurgiului-b3-IDEnNf.html
Garsoniera Militari Residence aprilie 2026,45 500 €,"Bucuresti, Sectorul 6",35 m²,https://www.storia.ro/ro/oferta/garsoniera-militari-residence-aprilie-2026-IDEKb6.html
"Duplex, 3 camere, Mutare Imediata",109 587 €,"Bucuresti, Sectorul 4",78 m²,https://www.storia.ro/ro/oferta/duplex-3-camere-mutare-imediata-IDEu3B.html
Apartament 3 camere Lujerului Nemobilat A450,105 999 €,"Bucuresti, Sectorul 6",77 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-lujerului-nemobilat-a450-IDEGKp.html
Apartament 3 camere de vanzare - Bulevardul Decebal,285 000 €,"Bucuresti, Sectorul 3",79 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-bulevardul-decebal-IDF7En.html
